mapping, replan, sfc, mpc, df, 
0, 0.000215, 0.004002, 0.687265, 0.002292, 
0, 0.000281, 0.003938, 0.684925, 0.002259, 
0, 0.000297, 0.005267, 0.708599, 0.002978, 
0, 0.000193, 0.003709, 0.681883, 0.002197, 
0, 0.000286, 0.004047, 0.701807, 0.003153, 
0, 0.000215, 0.003688, 0.679851, 0.002556, 
0, 0.000303, 0.004717, 1.04295, 0.003915, 
0, 0.000263, 0.004343, 0.723338, 0.004776, 
0, 0.000263, 0.004479, 0.717286, 0.003, 
0, 0.000265, 0.004392, 0.706548, 0.005011, 
0, 0.000285, 0.004133, 0.714024, 0.002922, 
0, 0.00026, 0.00441, 0.739126, 0.004175, 
0, 0.00027, 0.003969, 0.722405, 0.003017, 
0, 0.000337, 0.004974, 0.701529, 0.035322, 
0, 0.000265, 0.004177, 0.710419, 0.00325, 
0, 0.000339, 0.005531, 0.731907, 0.003817, 
0, 0.000528, 0.004297, 0.817577, 0.002984, 
0, 0.00039, 0.005927, 0.703585, 0.002771, 
0, 0.000222, 0.004082, 0.706985, 0.002194, 
0, 0.000293, 0.004151, 0.698058, 0.042273, 
0, 0.000278, 0.004533, 0.712823, 0.003347, 
0, 0.000265, 0.004209, 0.717214, 0.029204, 
0, 0.000287, 0.004496, 0.887503, 0.003162, 
0, 0.000261, 0.004386, 0.789132, 0.002791, 
0, 0.000264, 0.004103, 0.710074, 0.002856, 
0, 0.000267, 0.00414, 0.733699, 0.003082, 
0, 0.000276, 0.004014, 0.883423, 0.002896, 
0, 0.000271, 0.004668, 0.762695, 0.003332, 
0, 0.000212, 0.003898, 0.729494, 0.002308, 
0, 0.000272, 0.004178, 0.706384, 0.011345, 
0, 0.000541, 0.004203, 0.708271, 0.002762, 
0, 0.00023, 0.004035, 0.695291, 0.002643, 
0, 0.000267, 0.004229, 0.702926, 0.026219, 
0, 0.000206, 0.003621, 0.751295, 0.002699, 
0, 0.000313, 0.003904, 0.687789, 0.003765, 
0, 0.000311, 0.004809, 0.99507, 0.00318, 
0, 0.00027, 0.004275, 0.717768, 0.030979, 
0, 0.000265, 0.004136, 0.720801, 0.003275, 
0, 0.000265, 0.004256, 0.898876, 0.005012, 
0, 0.000322, 0.004731, 0.811792, 0.016053, 
0, 0.000294, 0.004664, 0.714825, 0.004891, 
0, 0.000268, 0.004405, 0.712624, 0.002874, 
0, 0.000245, 0.00387, 0.814624, 0.003642, 
0, 0.000284, 0.004259, 0.709525, 0.002728, 
0, 0.000268, 0.004249, 0.706314, 0.004953, 
0, 0.000211, 0.003497, 0.700791, 0.002593, 
0, 0.000272, 0.004457, 0.713346, 0.0326, 
0, 0.000266, 0.004417, 0.732521, 0.003281, 
0, 0.000258, 0.003955, 0.706144, 0.002854, 
0, 0.000286, 0.005123, 0.704655, 0.002891, 
0, 0.000253, 0.004277, 0.719148, 0.004213, 
0, 0.000286, 0.004347, 0.706813, 0.003264, 
0, 0.00026, 0.004364, 0.736697, 0.021843, 
0, 0.000311, 0.005994, 0.721503, 0.0036, 
0, 0.000256, 0.004028, 0.71806, 0.004324, 
0, 0.000268, 0.004197, 0.750848, 0.002808, 
0, 0.0002, 0.003992, 0.694891, 0.02239, 
0, 0.000267, 0.004242, 0.705913, 0.003108, 
0, 0.000234, 0.005118, 0.694553, 0.003855, 
0, 0.000261, 0.00409, 0.704212, 0.003099, 
0, 0.000277, 0.004425, 0.731765, 0.02855, 
0, 0.000269, 0.003931, 0.692622, 0.002583, 
0, 0.000259, 0.004539, 0.707755, 0.003925, 
0, 0.000269, 0.004386, 0.729544, 0.00286, 
0, 0.000282, 0.00418, 0.705493, 0.004348, 
0, 0.000275, 0.005817, 0.749893, 0.007452, 
0, 0.000317, 0.004852, 0.705072, 0.002734, 
0, 0.00028, 0.004579, 0.772003, 0.019801, 
0, 0.000286, 0.004325, 0.705782, 0.002933, 
0, 0.000292, 0.004284, 0.721072, 0.002975, 
0, 0.000282, 0.004086, 0.719306, 0.002759, 
0, 0.000265, 0.004794, 0.905178, 0.003427, 
0, 0.000357, 0.005607, 0.712369, 0.00288, 
0, 0.000282, 0.004818, 0.794069, 0.003099, 
0, 0.000281, 0.004105, 0.700683, 0.002635, 
0, 0.000266, 0.004094, 0.767416, 0.002941, 
0, 0.000257, 0.004294, 0.703247, 0.002807, 
0, 0.000263, 0.003854, 0.712279, 0.002786, 
0, 0.000259, 0.004057, 0.705363, 0.002752, 
0, 0.000273, 0.004062, 0.725811, 0.002864, 
0, 0.000259, 0.00455, 0.705497, 0.003089, 
0, 0.000266, 0.004672, 0.892603, 0.003154, 
0, 0.000277, 0.004604, 0.759054, 0.003369, 
0, 0.000309, 0.004961, 0.763829, 0.003728, 
0, 0.000285, 0.004798, 0.784047, 0.00292, 
0, 0.000262, 0.004651, 0.734891, 0.002948, 
0, 0.000365, 0.005652, 0.865995, 0.003568, 
0, 0.000268, 0.004897, 0.887807, 0.003173, 
0, 0.000258, 0.004349, 0.775919, 0.002986, 
0, 0.000228, 0.003553, 0.703748, 0.002403, 
0, 0.00026, 0.004445, 0.712067, 0.002817, 
0, 0.000264, 0.004808, 0.940523, 0.00371, 
